host_name,count,percentage
Fanlei,2,0.025249337204898373
Amazing,3,0.03787400580734756
Angelina,7,0.0883726802171443
Ayush,2,0.025249337204898373
Shawn,4,0.050498674409796745
Samantha,3,0.03787400580734756
Meadows Lavender,2,0.025249337204898373
Your Community Host,4,0.050498674409796745
Sue,10,0.12624668602449185
Arun,3,0.03787400580734756
Damien,6,0.07574801161469512
Fefe,4,0.050498674409796745
Dian,7,0.0883726802171443
Grace,11,0.13887135462694103
Cozy,3,0.03787400580734756
Jaemin,2,0.025249337204898373
Xinhang,4,0.050498674409796745
SugarKenn,3,0.03787400580734756
5footway,4,0.050498674409796745
Kate,9,0.11362201742204267
Keith,26,0.32824138366367883
Puneet,2,0.025249337204898373
昂斯,2,0.025249337204898373
Trisno,10,0.12624668602449185
"Jon, Ams & Friends",13,0.16412069183183942
Alvin,249,3.143542482009847
Steve,3,0.03787400580734756
Chen,3,0.03787400580734756
Fendi,3,0.03787400580734756
Chng,2,0.025249337204898373
Kim (金),6,0.07574801161469512
Nawan,3,0.03787400580734756
Sky,5,0.06312334301224592
Angie,22,0.27774270925388206
Marion,2,0.025249337204898373
Andrea,4,0.050498674409796745
Amanda,7,0.0883726802171443
Cui,2,0.025249337204898373
Willie,2,0.025249337204898373
琳琳,8,0.10099734881959349
Kit,16,0.20199469763918698
Eddie,9,0.11362201742204267
Kok Yung,3,0.03787400580734756
Happysnail,2,0.025249337204898373
Elise,12,0.15149602322939024
Mary,4,0.050498674409796745
Ace Beautiful Homes,17,0.21461936624163616
James,40,0.5049867440979674
Penny,2,0.025249337204898373
Joey,94,1.1867188486302234
Ankur,2,0.025249337204898373
BedsandDreams Inn@ Chinatown,6,0.07574801161469512
月香,3,0.03787400580734756
Kat,2,0.025249337204898373
Homes Sg,2,0.025249337204898373
Yan,7,0.0883726802171443
Mandarin Orchard Singapore,3,0.03787400580734756
Home,7,0.0883726802171443
Avril,7,0.0883726802171443
Terence,7,0.0883726802171443
Danielle,3,0.03787400580734756
Belinda,9,0.11362201742204267
Anuj,2,0.025249337204898373
Jayce,6,0.07574801161469512
Qin,4,0.050498674409796745
Ruth Mandy,11,0.13887135462694103
Faith,3,0.03787400580734756
Zhen And Toni,9,0.11362201742204267
Su,5,0.06312334301224592
Jason,12,0.15149602322939024
Shindy,3,0.03787400580734756
F,3,0.03787400580734756
Jin,4,0.050498674409796745
